datetime,Global_active_power,y_pred,residual,z_score,abs_error,hour,dayofweek,message
2010-11-20 18:00:00,5.626833,1.7593280244586824,3.8675049375774506,6.7603257204514975,3.8675049375774506,18,5,"[2010-11-20 18:00] Unusual spike on Sat 18:00 (evening peak) detected by residual z-score: actual 5.63 kW vs expected 1.76 kW (Δ +3.87 kW, |z|=6.76). Possible causes: more high-power appliances running at once than usual."
2010-02-21 11:00:00,5.0908,1.3204593037476149,3.770340504754582,5.8841122636946395,3.770340504754582,11,6,"[2010-02-21 11:00] Unusual spike on Sun 11:00 (daytime) detected by residual z-score: actual 5.09 kW vs expected 1.32 kW (Δ +3.77 kW, |z|=5.88). Possible causes: a large appliance running outside its usual schedule, or overlapping medium loads."
2010-01-23 18:00:00,5.2655334,1.7524946063890192,3.5130388408766056,5.998219141607921,3.5130388408766056,18,5,"[2010-01-23 18:00] Unusual spike on Sat 18:00 (evening peak) detected by residual z-score: actual 5.27 kW vs expected 1.75 kW (Δ +3.51 kW, |z|=6.00). Possible causes: more high-power appliances running at once than usual."
2009-01-24 11:00:00,5.0734,2.0279337808323463,3.045466239767019,6.39054473845393,3.045466239767019,11,5,"[2009-01-24 11:00] Unusual spike on Sat 11:00 (daytime) detected by residual z-score: actual 5.07 kW vs expected 2.03 kW (Δ +3.05 kW, |z|=6.39). Possible causes: a large appliance running outside its usual schedule, or overlapping medium loads."
2009-10-23 15:00:00,4.0253,1.0463439429159578,2.9789560830239834,5.147501034503728,2.9789560830239834,15,4,"[2009-10-23 15:00] Unusual spike on Fri 15:00 (daytime) detected by residual z-score: actual 4.03 kW vs expected 1.05 kW (Δ +2.98 kW, |z|=5.15). Possible causes: a large appliance running outside its usual schedule, or overlapping medium loads."
2010-01-15 20:00:00,5.3368,2.3685429228909176,2.968257175528272,5.1681308282205976,2.968257175528272,20,4,"[2010-01-15 20:00] Unusual spike on Fri 20:00 (evening peak) detected by residual z-score: actual 5.34 kW vs expected 2.37 kW (Δ +2.97 kW, |z|=5.17). Possible causes: more high-power appliances running at once than usual."
2009-11-24 19:00:00,4.5056,1.6691812127139745,2.836418762871963,4.715235139049035,2.836418762871963,19,1,"[2009-11-24 19:00] Unusual spike on Tue 19:00 (evening peak) detected by residual z-score: actual 4.51 kW vs expected 1.67 kW (Δ +2.84 kW, |z|=4.72). Possible causes: more high-power appliances running at once than usual."
2007-05-08 12:00:00,4.7191334,1.9321783203616862,2.7869550567135093,5.6077305355806155,2.7869550567135093,12,1,"[2007-05-08 12:00] Unusual spike on Tue 12:00 (daytime) detected by residual z-score: actual 4.72 kW vs expected 1.93 kW (Δ +2.79 kW, |z|=5.61). Possible causes: a large appliance running outside its usual schedule, or overlapping medium loads."
2009-10-24 18:00:00,3.9988666,1.3148537754773033,2.684012782597648,4.303100517498141,2.684012782597648,18,5,"[2009-10-24 18:00] Unusual spike on Sat 18:00 (evening peak) detected by residual z-score: actual 4.00 kW vs expected 1.31 kW (Δ +2.68 kW, |z|=4.30). Possible causes: more high-power appliances running at once than usual."
2010-01-27 17:00:00,4.0798335,1.412591895642672,2.66724161189517,4.008638594919076,2.66724161189517,17,2,"[2010-01-27 17:00] Unusual spike on Wed 17:00 (evening peak) detected by residual z-score: actual 4.08 kW vs expected 1.41 kW (Δ +2.67 kW, |z|=4.01). Possible causes: more high-power appliances running at once than usual."
2010-11-14 15:00:00,4.1565666,1.4900121770579986,2.6665544428150483,4.664036888470888,2.6665544428150483,15,6,"[2010-11-14 15:00] Unusual spike on Sun 15:00 (daytime) detected by residual z-score: actual 4.16 kW vs expected 1.49 kW (Δ +2.67 kW, |z|=4.66). Possible causes: a large appliance running outside its usual schedule, or overlapping medium loads."
2010-06-23 21:00:00,3.9411001,1.2956777519999636,2.64542236854447,5.153121273174283,2.64542236854447,21,2,"[2010-06-23 21:00] Unusual spike on Wed 21:00 (evening peak) detected by residual z-score: actual 3.94 kW vs expected 1.30 kW (Δ +2.65 kW, |z|=5.15). Possible causes: more high-power appliances running at once than usual."
