datetime,Global_active_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,unmeasured_Wh
2006-12-16 17:00:00,4.222889,234.64388,18.099998,0.0,19.0,607.0,1907.7334
2006-12-16 18:00:00,3.6322,234.58015,15.6,0.0,403.0,1012.0,2217.2
2006-12-16 19:00:00,3.4002333,233.2325,14.503333,0.0,86.0,1001.0,2313.2334
2006-12-16 20:00:00,3.2685666,234.0715,13.916667,0.0,0.0,1007.0,2261.5667
2006-12-16 21:00:00,3.0564666,237.15866,13.046666,0.0,25.0,1033.0,1998.4667
2006-12-16 22:00:00,2.2001333,238.76,9.523334,0.0,8.0,266.0,1926.1333
2006-12-16 23:00:00,2.0616,240.61966,8.896667,0.0,5.0,0.0,2056.6
2006-12-17 00:00:00,1.8824667,240.96184,8.126667,0.0,28.0,0.0,1854.4667
2006-12-17 01:00:00,3.3494,240.44833,14.246667,0.0,1514.0,0.0,1835.4
2006-12-17 02:00:00,1.5872667,245.81866,6.8700004,0.0,34.0,0.0,1553.2666
2006-12-17 03:00:00,1.6622001,244.51349,7.2066665,0.0,46.0,0.0,1616.2
2006-12-17 04:00:00,2.2157667,243.8555,9.333333,0.0,34.0,533.0,1648.7666
2006-12-17 05:00:00,1.9967333,243.71017,8.566667,0.0,10.0,279.0,1707.7333
2006-12-17 06:00:00,1.3033,244.14151,5.5299997,0.0,43.0,0.0,1260.3
2006-12-17 07:00:00,1.6200333,241.84567,6.8033338,0.0,10.0,0.0,1610.0333
2006-12-17 08:00:00,1.8905666,241.31151,8.05,0.0,45.0,0.0,1845.5667
2006-12-17 09:00:00,2.5490668,238.84784,10.973333,0.0,439.0,0.0,2110.0667
2006-12-17 10:00:00,3.6288998,235.441,15.533334,533.0,1341.0,969.0,785.9
2006-12-17 11:00:00,2.471,236.92467,10.493333,567.0,301.0,1031.0,572.0
2006-12-17 12:00:00,1.9158666,237.78467,8.136667,0.0,32.0,1039.0,844.8667
2006-12-17 13:00:00,1.6607667,239.92067,6.923333,0.0,3.0,1057.0,600.76666
2006-12-17 14:00:00,2.0926332,244.04567,8.6,0.0,20.0,1094.0,978.6333
2006-12-17 15:00:00,2.9854,240.48082,12.426666,418.0,12.0,1062.0,1493.4
2006-12-17 16:00:00,3.3260334,236.78183,14.006667,515.0,4.0,1030.0,1777.0333
2006-12-17 17:00:00,3.4067667,234.22983,14.509999,0.0,28.0,1009.0,2369.7666
2006-12-17 18:00:00,3.6971002,234.37233,15.75,0.0,0.0,1010.0,2687.1
2006-12-17 19:00:00,2.9084,233.19566,12.516666,0.0,31.0,1001.0,1876.4
2006-12-17 20:00:00,3.3615,236.4265,14.276667,0.0,67.0,1027.0,2267.5
